6359: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 79, identificador: 65
6370: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 80, identificador: 65
6371: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 81, identificador: 65
6381: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 82, identificador: 65
6392: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 83, identificador: 65
6392: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 84, identificador: 65
6403: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 85, identificador: 65
6414: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 86, identificador: 65
6414: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 87, identificador: 65
6425: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 88, identificador: 65
6425: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 89, identificador: 65
6436: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 90, identificador: 65
6447: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 91, identificador: 65
6447: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 92, identificador: 65
6458: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 93, identificador: 65
6469: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 94, identificador: 65
6469: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 95, identificador: 65
6480: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 96, identificador: 65
6490: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 97, identificador: 65
6491: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 98, identificador: 65
6502: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 99, identificador: 65
6512: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 100, identificador: 65
6513: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 101, identificador: 65
6523: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 102, identificador: 65
6534: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 103, identificador: 65
6534: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 104, identificador: 65
6545: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 105, identificador: 65
6546: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 106, identificador: 65
6556: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 107, identificador: 65
6567: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 108, identificador: 65
6567: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 109, identificador: 65
6578: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 110, identificador: 65
6589: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 111, identificador: 65
6589: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 112, identificador: 65
6600: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 113, identificador: 65
6611: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 114, identificador: 65
6611: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 115, identificador: 65
6622: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 116, identificador: 65
6632: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 117, identificador: 65
6633: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 118, identificador: 65
6644: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 119, identificador: 65
6654: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 120, identificador: 65
6655: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 121, identificador: 65
6665: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 122, identificador: 65
6676: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 123, identificador: 65
6677: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 124, identificador: 65
6687: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 125, identificador: 65
6688: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 126, identificador: 65
6698: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 127, identificador: 65
6709: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 128, identificador: 65
6709: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 129, identificador: 65
6720: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 130, identificador: 65
6731: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 131, identificador: 65
