15104: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 1, identificador: 65
15113: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 2, identificador: 65
15114: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 3, identificador: 65
15124: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 4, identificador: 65
15125: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 5, identificador: 65
15136: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 6, identificador: 65
15146: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 7, identificador: 65
15147: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 8, identificador: 65
15157: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 9, identificador: 65
15168: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 10, identificador: 65
15169: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 11, identificador: 65
15179: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 12, identificador: 65
15190: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 13, identificador: 65
15191: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 14, identificador: 65
15201: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 15, identificador: 65
15212: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 16, identificador: 65
15212: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 17, identificador: 65
15223: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 18, identificador: 65
15234: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 19, identificador: 65
15234: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 20, identificador: 65
15245: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 21, identificador: 65
15256: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 22, identificador: 65
15256: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 23, identificador: 65
15267: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 24, identificador: 65
15277: Recebido 1000 bytes de 192.168.0.43:57786, pacote nº 25, identificador: 65
